Date,Open,High,Low,Close,Adj Close,Volume
2015-08-27,95.879997,97.370003,95.570000,97.330002,79.550064,10187100
2015-08-28,96.050003,96.660004,95.790001,96.250000,79.360443,5606000
2015-08-31,95.769997,95.879997,94.849998,95.019997,78.346275,5086600
2015-09-01,92.769997,94.279999,92.599998,93.470001,77.068245,7308400
2015-09-02,95.629997,96.120003,94.550003,96.040001,79.187271,6908100
2015-09-03,96.800003,97.430000,95.580002,96.010002,79.162529,6313900
2015-09-04,95.050003,95.580002,94.309998,94.849998,78.206100,4429100
2015-09-08,96.309998,96.879997,95.489998,96.779999,79.797432,5771100
2015-09-09,97.290001,97.389999,95.220001,95.430000,78.684311,5129400
2015-09-10,94.959999,95.849998,94.750000,95.250000,78.535889,6210800
2015-09-11,95.470001,97.419998,95.260002,97.410004,80.316872,6656300
2015-09-14,97.360001,97.660004,96.629997,96.970001,79.954094,4557200
2015-09-15,97.290001,98.589996,96.739998,98.190002,80.959991,5142600
2015-09-16,98.650002,98.739998,97.529999,98.690002,81.372269,5198700
2015-09-17,98.570000,98.970001,97.389999,97.839996,80.671410,7955000
2015-09-18,96.820000,97.699997,96.250000,97.050003,80.020050,10492700
2015-09-21,97.480003,98.169998,97.010002,97.900002,80.720894,4543500
2015-09-22,97.120003,98.080002,96.709999,97.199997,80.143715,6254500
2015-09-23,97.239998,97.849998,97.010002,97.379997,80.292137,3035300
2015-09-24,96.830002,97.430000,96.300003,97.290001,80.217918,4138800
2015-09-25,97.889999,98.699997,97.459999,97.589996,80.465286,4825800
2015-09-28,97.000000,97.739998,95.779999,95.959999,79.121315,6609800
2015-09-29,97.459999,97.790001,96.809998,97.480003,80.374596,6944800
2015-09-30,98.209999,98.699997,97.760002,98.529999,81.240334,5517600
2015-10-01,98.500000,99.000000,97.669998,98.779999,81.446457,4456600
2015-10-02,97.330002,99.809998,97.129997,99.790001,82.279236,4400800
2015-10-05,100.269997,101.639999,100.199997,101.169998,83.417053,6501600
2015-10-06,101.260002,102.300003,101.160004,101.900002,84.018974,7252400
2015-10-07,100.750000,101.900002,100.339996,101.769997,83.911789,6497100
2015-10-08,101.849998,103.470001,101.769997,102.949997,84.884727,8218900
2015-10-09,103.000000,103.440002,102.269997,102.760002,84.728081,5756600
2015-10-12,102.680000,103.309998,102.510002,103.239998,85.123840,3448200
2015-10-13,102.849998,103.510002,102.629997,103.379997,85.239281,4697300
2015-10-14,104.150002,104.930000,102.430000,102.820000,84.777527,9093000
2015-10-15,102.570000,105.199997,101.599998,103.660004,85.470154,10168300
2015-10-16,104.720001,105.010002,103.410004,104.820000,86.426582,7168300
2015-10-19,104.239998,105.150002,104.150002,104.489998,86.154503,7064300
